false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
0.214,0.9425607104023197,0.9534534534534534,0.9473994200797391,0.960960960960961,0.933300108735049,0.9564564564564565
0.215,0.9425607104023197,0.9534534534534534,0.9473994200797391,0.960960960960961,0.9349130119608554,0.9564564564564565
0.216,0.9425607104023197,0.9594594594594594,0.9473994200797391,0.960960960960961,0.9365259151866618,0.9564564564564565
0.217,0.9425607104023197,0.9594594594594594,0.9473994200797391,0.960960960960961,0.9381388184124684,0.9564564564564565
0.218,0.9425607104023197,0.9594594594594594,0.9473994200797391,0.9624624624624625,0.9381388184124684,0.9564564564564565
0.219,0.9425607104023197,0.9594594594594594,0.9473994200797391,0.9624624624624625,0.9381388184124684,0.9579579579579579
0.22,0.9457865168539326,0.9594594594594594,0.9473994200797391,0.9624624624624625,0.9397517216382747,0.9579579579579579
0.221,0.9457865168539326,0.9594594594594594,0.9490123233055455,0.963963963963964,0.9411562160202972,0.9579579579579579
0.222,0.9473994200797391,0.960960960960961,0.9490123233055455,0.963963963963964,0.9411562160202972,0.9579579579579579
0.223,0.950625226531352,0.960960960960961,0.9490123233055455,0.963963963963964,0.9411562160202972,0.9579579579579579
0.224,0.950625226531352,0.960960960960961,0.9490123233055455,0.963963963963964,0.9411562160202972,0.9579579579579579
0.225,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9443820224719102,0.9579579579579579
0.226,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9443820224719102,0.9579579579579579
0.227,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9459949256977165,0.9594594594594594
0.228,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9492207321493294,0.9594594594594594
0.229,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9492207321493294,0.960960960960961
0.23,0.950625226531352,0.9624624624624625,0.9490123233055455,0.963963963963964,0.9492207321493294,0.960960960960961
