run,false_positive_rate,M_0_macro_true_positive_rate,M_0_micro_true_positive_rate,M_1_macro_true_positive_rate,M_1_micro_true_positive_rate,M_rand_macro_true_positive_rate,M_rand_micro_true_positive_rate
1,0.13,0.7372766570605187,0.731995277449823,0.8153314121037464,0.8099173553719008,0.6374668587896253,0.6233766233766234
1,0.131,0.7372766570605187,0.7367178276269185,0.8153314121037464,0.8134592680047226,0.6374668587896253,0.6257378984651711
1,0.132,0.7407175792507205,0.7390791027154664,0.8153314121037464,0.8134592680047226,0.6403487031700288,0.6304604486422668
1,0.133,0.7407175792507205,0.7414403778040142,0.8153314121037464,0.8146399055489965,0.6413487031700288,0.6304604486422668
1,0.134,0.7441585014409222,0.7426210153482881,0.8163314121037464,0.8146399055489965,0.6413487031700288,0.6328217237308147
1,0.135,0.7455994236311239,0.7449822904368358,0.8163314121037464,0.8146399055489965,0.6413487031700288,0.6375442739079102
1,0.136,0.7475994236311239,0.7473435655253837,0.8192132564841499,0.8170011806375442,0.6413487031700288,0.6375442739079102
1,0.137,0.748599423631124,0.7473435655253837,0.824536023054755,0.8170011806375442,0.6452305475504323,0.6375442739079102
1,0.138,0.7530403458213257,0.7473435655253837,0.824536023054755,0.8181818181818182,0.6452305475504323,0.641086186540732
1,0.139,0.7540403458213256,0.7485242030696576,0.8269769452449567,0.8181818181818182,0.6452305475504323,0.6422668240850059
1,0.14,0.7550403458213257,0.7520661157024794,0.8279769452449568,0.8217237308146399,0.6452305475504323,0.6434474616292798
1,0.141,0.7550403458213257,0.7544273907910272,0.8304178674351586,0.8229043683589138,0.6452305475504323,0.6446280991735537
1,0.142,0.7550403458213257,0.7544273907910272,0.8314178674351584,0.8240850059031877,0.6452305475504323,0.6446280991735537
1,0.143,0.7560403458213256,0.7579693034238488,0.8314178674351584,0.8264462809917356,0.6452305475504323,0.6469893742621016
1,0.144,0.7574812680115274,0.7579693034238488,0.8324178674351586,0.8299881936245572,0.6486714697406339,0.6505312868949232
1,0.145,0.7589221902017291,0.7579693034238488,0.8334178674351584,0.8323494687131051,0.6486714697406339,0.6517119244391971
1,0.146,0.7589221902017291,0.7591499409681228,0.8334178674351584,0.8347107438016529,0.6516714697406341,0.6517119244391971
1,0.147,0.7589221902017291,0.7603305785123967,0.8348587896253602,0.8347107438016529,0.6536714697406341,0.654073199527745
