lambda,selected_data_weight,C,selection_k_per_class,macro_auc_mean,macro_auc_std,fold_count,micro_auc_mean,micro_auc_std,mean_selected_count,macro_auc_se,micro_auc_se,complete_cv
0.025,1.0,10.0,40,0.9829366649509156,0.006937494766792131,3,0.9829116042575331,0.007012488127085324,80.0,0.004005364471109057,0.004048661907861767,True
0.001,1.0,0.0001,40,0.9827539198548106,0.005678530347727376,3,0.9825910991626677,0.005753797871114386,79.33333333333333,0.0032785010248618596,0.0033219567497505867,True
0.005,0.01,0.0001,40,0.9825611637668842,0.005899104150279155,3,0.9822591939445626,0.005934798604976212,80.0,0.003405849369141309,0.0034264575721692316,True
0.025,0.1,10.0,40,0.9825479228111855,0.007325404505145641,3,0.9825937332097546,0.0072616148898727,80.0,0.004229324262968733,0.004192495311419398,True
0.01,0.01,0.0001,40,0.982540828497414,0.005839101518430095,3,0.982251141533244,0.005917828267927692,80.0,0.0033712068334911683,0.00341665974350603,True
0.0001,0.1,0.0001,40,0.9825295883959736,0.00583456263806527,3,0.9822655923452395,0.00586898125614175,45.666666666666664,0.0033685863096907165,0.0033884579081023074,True
0.001,0.1,0.0001,40,0.9825209402625176,0.005816246871310493,3,0.9822635072545124,0.0058750197451826166,79.33333333333333,0.003358011696824432,0.0033919442313755503,True
0.001,0.01,0.0001,40,0.9825048473128928,0.00583468155980564,3,0.98222691546904,0.005896981939321456,79.33333333333333,0.003368654969189532,0.003404624110073604,True
0.025,0.01,0.0001,40,0.9825045517791907,0.005896437787316531,3,0.9822063359172586,0.005953803600167733,80.0,0.0034043099437670804,0.0034374301112590037,True
0.005,0.1,0.0001,40,0.9824677602291803,0.005883065750799893,3,0.9821880470035996,0.0059253126752017915,80.0,0.0033965895948845867,0.003420980868060456,True
0.0001,0.01,0.0001,40,0.9824279917416633,0.005843987354358895,3,0.9821405337035066,0.005929879063213828,45.666666666666664,0.003374027672179877,0.00342361727340843,True
0.025,0.1,0.0001,40,0.9824150263032231,0.005916968223469757,3,0.9821289391721142,0.005976193081858348,80.0,0.0034161631966067264,0.0034503566845400964,True
0.01,0.1,0.0001,40,0.9823987674141786,0.005881444448285294,3,0.982098650368321,0.005962767703144124,80.0,0.0033956535354413447,0.003442605538525467,True
0.001,10.0,0.0001,40,0.9823802351027712,0.00476875546036219,3,0.9822963472447679,0.005084360730105271,79.33333333333333,0.0027532422487396083,0.0029354570361834406,True
0.025,10.0,10.0,40,0.9822557791054813,0.007299271579554266,3,0.9822337569513437,0.007421211940176683,80.0,0.004214236411343841,0.004284638711374273,True
0.0001,10.0,10.0,40,0.9818647874997164,0.006627225127936367,3,0.9818309613679039,0.006453310921661728,55.666666666666664,0.0038262302115943136,0.003725820797785751,True
0.005,1.0,0.0001,40,0.9817687335887305,0.006130131945422285,3,0.9815359357591804,0.006218231249483161,80.0,0.003539233328857481,0.003590097485772446,True
0.01,1.0,0.0001,40,0.9815082164486914,0.006421342346498694,3,0.981160550513184,0.006527252417693407,80.0,0.0037073637323097645,0.003768510940423924,True
0.025,1.0,0.0001,40,0.9814591690396758,0.006458539285962231,3,0.9812318992281398,0.006489067836985986,80.0,0.0037288393953220675,0.003746465062473602,True
0.005,10.0,0.0001,40,0.9785519682644184,0.007214106601854899,3,0.9783831768859756,0.007413155303993842,80.0,0.004165066388543582,0.004279987210305347,True
0.01,10.0,0.0001,40,0.9768785578609784,0.00909612243608473,3,0.9761868740220713,0.009263547564145653,80.0,0.005251648737055314,0.005348311679810395,True
0.025,10.0,0.0001,40,0.9756850681981267,0.008330883476297955,3,0.9755269630193891,0.00807330023157127,80.0,0.0048098378176280295,0.004661122061946341,True
